id,Date,NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,City,Notes
947068,10/5/2012,1,F,N,B,M,50,NA,NA,1,U,U,New York Police Department,"On May 10, at 2037 hours, in the 111th Precinct, an officer discharged his firearm at an emotionally disturbed person who was stabbing a woman with a knife. The officer, assigned to the Precinct Conditions Team, responded to a radio run of a suicidal man. Upon arrival at the scene, the officers observed subject on top of a woman and stabbing her while the victim was trying to defend herself from the attack. The officers ordered the subject to drop the knife, and, because of the imminent threat posed to the victim, one of the officers fired one round at the subject, striking him and causing him to fall to the ground. The subject then got back up and advanced towards the officer with the knife raised, causing the officer to fire one additional round at the subject, striking him again and causing his demise. The victim was critically injured in the assault and suffered numerous lacerations and stab wounds resulting in a collapsed lung. The subject had no prior arrest history.",New York,CUTTING INSTRUMENT
530632,10/10/2010,1,N,U,B,M,0-19,NA,6,1,W,M,Chicago Police Department,NA,Chicago,NA
2277391,NA,1,N,U,B,M,U,NA,NA,1,H,F,Los Angeles Police Department,NA,LosAngeles,No Hit
566337,7/2/1905,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
1532583,NA,1,N,U,W,F,0-19,NA,6,2,L;B,M;M,Chicago Police Department,NA,Chicago,NA
287259,NA,1,F,Y,L,M,27,NA,1,1,B,M,Tampa Police Department,NA,Tampa,Employee ID: 49007
3822242,NA,1,N,U,B,U,U,NA,NA,2,L;B,M;M,Chicago Police Department,NA,Chicago,Firearm Discharge - No Hits
3636577,NA,1,F,Y,L,M,U,NA,NA,2,H;W,M;M,Los Angeles Police Department,"On Monday, November 25, 2013, around 10:15 p.m., Devonshire Patrol Division police officers and supervisors responded to a ""Shots Fired"" radio call in the 12000 block of Woodley Avenue. The comments of the call indicated that the suspect, later identified as Robert Gillon, had fired multiple rounds outside and was seen running to the rear of his residence. Officers deployed on the residence and with the assistance of an airship, observed Gillon repeatedly exit and re-enter his residence while armed with either a rifle or a handgun. Officers deployed in the neighboring backyard, east of Gillon's residence. Guillon exited his residence armed with a handgun at which time an officer involved shooting occurred. Gillon was struck by gunfire and fell to the ground. Guillon was taken into custody without further incident. Los Angeles Fire Department personnel responded and pronounced Guillon dead at scene. No officers were injured during the incident. A handgun and rifle were recovered from the rear of the residence.",LosAngeles,NA
4893286,9/12/2013,1,N,N,U,U,U,Car Chk,NA,NA,NA,U,Kansas City Police Department,NA,Kansas City,NA
3665736,NA,1,N,N,B,U,U,Hostage situation,NA,5,NA,U,Jacksonville Police Department,"Jeremiah Mathis was killed during a hostage situation that ended with an innocent woman being shot by police along with her 2-year-old son in a car at a Wendy's drive-thru. Matthis was a suspect in a robbery at the Wachovia Bank at 8715 Baymeadows Road. Police said he was seen running out of the bank about 3:10 p.m. carrying a .357 revolver and running through parking lots into a Wendy’s drive-through. There he opened the door of Joann Cooper’s car and was seen by an officer. The officer pointed a shotgun, yelling for the suspect to stop, police said. Mathis got into the car Cooper was driving with a 2- and 7-year-old in the back seat. Police said he tried to drive away, and as the car moved past them, two officers fired shots at the gunman. The car continued forward and as it went over the top of the median another two officers fired at the gunman as he attempted to exit the vehicle, which was still rolling to a stop. Mathis was killed, and police also hit the 2-year-old boy in the chest and arm and the mother in the foot. The 7-year-old girl in the car was unharmed. A lawsuit filed by Cooper said that one of the officers saw the child and was yelling for other offiers to stop firing, but other officers continued to discharge their weapons. All said, 24 rounds were fired into the car. The lawsuit suggested that Mathis was attempting to surrender when he was shot.",Jacksonville,NA
240867,3/6/2010,1,N,U,B,M,20-29,NA,NA,1,W,M,Chicago Police Department,NA,Chicago,NA
2242863,NA,1,F,Y,B,M,U,NA,NA,1,H,M,Los Angeles Police Department,"On September 18, 2011, around 10:50 p.m., 77th Patrol Division Special Problems Unit officers responded to a radio call of a loud party in the 1000 block of West 53rd Street. When officers arrived they saw several individuals in the vicinity and attempted to talk to a male Black in his 40s. At that moment the male black immediately took off running and appeared to be reaching repeatedly for his pockets as he ran from the officers. The officers went into a foot pursuit and followed the individual for over 150 yards into the 1100 block of 53rd Street. The suspect produced a handgun and pointed it at the officers at which time an officer-involved shooting occurred.",LosAngeles,NA
2325595,11/6/2015,1,N,NA,W,M,24,NA,NA,1,W,M,Columbus Police Department,Mr. Judd sustained multiple gunshot wounds to his right arm and abdomen.,Columbus,"Shooting, non-fatal"
1037315,8/4/2015,1,F,Y,W,M,60,Traffic stop,NA,1,H,M,San Antonio Police Department,NA,San Antonio,NA
4405574,6/3/2014,1,F,N,U,U,U,NA,NA,1,B,M,Houston Police Department,"An off-duty HPD office was at his home  sleeping when 3 suspects forced entry into his apartment. One of the suspects was holding gun which turned out to be a BB gun. Not knowing that information, the officer feared  for his life and fired three times at the suspect holding the gun. The suspect was pronounced DOA.",Houston,Officer off-duty. One victim was a juvenile so info was protected; same victim armed with BB gun.
2331587,3/12/2013,1,F,Y,U,M,U,NA,NA,2,U,M;M,Metropolitan Police Department,NA,Washington DC,Victim named Darius Murphy.
1866887,7/2/1905,1,N,N,B,M,35,NA,3,1,U,U,New York Police Department,NA,New York,NONE
2337764,4/2/2010,1,N,U,L,M,U,NA,5,1,L,M,City of Miami Police Department,NA,City of Miami,NA
257208,7/3/1905,1,U,NA,U,U,U,NA,NA,NA,U,U,Detroit Police Department,NA,Detroit,NA
2705855,12/5/2016,1,N,Y,B,M,31,NA,1,8,W;W;W;W;W;W;W;L,M;M;M;M;M;M;M;M;M,Chicago Police Department,NA,Chicago,NA
2434803,NA,1,N,N,U,M,18,Traffic stop,10,2,U,M;U,Las Vegas Metropolitan Police Department,https://www.lvmpd.com/en-us/InternalOversightConstitutionalPolicing/Documents/Non-Fatal%20OIS/111716ReleasePO282b.pdf,LasVegas,NO HITS
1829980,4/4/2013,1,N,Y,U,M,U,Suspect,NA,1,U,U,Philadelphia Police Department,"On 4/4/13, at approximately 11:59 P.M., a uniformed officer in a marked patrol vehicle was surveying the area of 57th and Baltimore Avenue for a suspect from a robbery that occurred moments earlier at a convenience store at 58th Street and Whitby Avenue. The officer observed a male, fitting the flash information provided by Police Radio, standing at the bus stop in the 900 block of S. 57th Street. The officer approached the offender to investigate. The offender pushed the officer, drew a .380 caliber handgun, and fired two rounds at the officer. The officer drew his weapon and discharged it, striking the offender. The offender fled north on 57th Street and was apprehended in the rear alley of the 5600 block of Montrose Street. The offender was transported to the Hospital of the University of Pennsylvania. A .380 caliber semi-automatic handgun, loaded with one live round, was recovered from the offender.",Philadelphia,NA
4661039,NA,1,F,NA,B,U,U,NA,NA,1,B,U,Baltimore Police Department,NA,BaltimoreCity,NA
4785482,NA,1,F,Y,U,M,48,Domestic Dispute,NA,2,NA,M;M,St. Louis Metro Police Department,NA,St. Louis,"Handgun, Additional info: http://www.stltoday.com/news/local/crime-and-courts/gunfire-leaves-man-dead-st-louis-officer-wounded/article_9dc4c62e-c186-11e1-b52a-001a4bcf6878.html"
791315,6/8/2015,1,N,Y,U,M,U,NA,NA,1,U,M,Metropolitan Police Department,NA,Washington DC,No hits.
1878220,NA,1,F,N,B,M,24,NA,1,1,U,U,New York Police Department,"On Saturday April 25, 2015, at approximately 1337 hours, an individual known to the Department was wanted in regard to an I-Card investigation involving a robbery. Two detectives assigned to the 26th Precinct Detective Squad arrived at 538 East 6th Street, the East Village Halfway House, with the intention of arresting the subject. Detectives arrived at the location, and with the assistance of a civilian security guard, proceeded to the subject’s room. The East Village Halfway House offers shelter to ex-prisoners diagnosed with mental disorders. The civilian security guard gained access to the apartment, and as the detectives entered, they observed the subject fleeing out of the window and down the rear fire escape. The detectives pursued, via the inside stairwell and confronted the subject in the rear courtyard of the building. A violent struggled ensued between the detectives and the wanted subject which lasted a minimum of three minutes and thirty seconds. Video surveillance captured a portion of the physical altercation. One round was discharged by one of the involved detectives, striking the individual in his chest and ultimately resulting in his demise. No weapons were recovered on scene. Both detectives were removed to the hospital to treat significant lacerations to their heads as well as other bodily injuries. One detective was admitted for observation. Subject toxicology yielded no presence of narcotics or alcohol.",New York,1; SUBJECT ATTACKED OFFICERS; PHYSICAL FORCE
2128553,7/7/1905,1,N,U,U,U,U,NA,NA,NA,NA,U,Memphis Police Department,NA,Memphis,NA
2915502,NA,1,N,Y,B,M,40,Suspect search,NA,1,NA,U,Jacksonville Police Department,"Rodney Newberry was reportedly carrying an open container when Officers Ronald Bilyew and William Shrum attempted to question him.Newberry ran, and the officers chased him, wrestling him to the ground, police said. Police said he then fired a handgun, hitting Bilyew in the hand and Shrum in the foot. Bilyew fired back, and police later arrested Newberry at his mother’s house in the 1200 block of West Sixth Street. He had a gunshot wound to the lower back.",Jacksonville,NA
886296,NA,1,N,Y,W,M,24,NA,NA,1,U,U,San Diego Police Department,NA,SanDiego,Assault rife
1825856,7/9/2012,1,N,Y,B,U,U,Call for Service,not clear,1,H,M,Denver Police Department,NO HITS,Denver,NA
3325470,NA,1,N,Y,L,M,28,Armed disturbance,NA,1,NA,U,Jacksonville Police Department,"Eric Omar Sanchez was shot by Jacksonville police at a motel shortly before 6 p.m. after a report of gunfire exchanged between two men. The officers split into two groups in the courtyard of the Phillips Highway Emerson Inn, where Sanchez, on the second-floor balcony, was identified by a witness as someone involved in the fight. Police said that Sanchez lifted his shirt to expose a weapon, and that Officer Matt Edwards ordered him to drop the weapon, but he refused. Sanchez was hit in the arm and the chest.",Jacksonville,NA
2543609,7/8/1905,1,U,U,U,U,U,NA,NA,2,W;W,M;M,Tampa Police Department,NA,Tampa,"Employee ID: 49261, 50744"
2251402,NA,1,N,NA,B,M,39,NA,NA,1,W,M,Columbus Police Department,Mr. Hassan sustained one (1) gunshot wound to his right lower arm.,Columbus,"Shooting, non-fatal"
1865724,NA,1,N,Y,B,U,U,Robbery,5;8;6;4;6,5,L;L;L;B;W,M;M;M;M;M,Chicago Police Department,NA,Chicago,NA
3751625,1/9/2013,1,F,Y,L,M,28,NA,NA,1,L,M,Houston Police Department,"Responded to a disturbance where witnesses said the suspect had a weapon. The officers demanded the suspect remove his hands from his pockets, suspect produced a weapon, one officer fired multiple time striking and killing the suspect.",Houston,NA
3938244,NA,1,N,Y,U,U,U,Ambush,NA,1,NA,U,St. Louis Metro Police Department,"The officer had returned fire and thought he hit the shooter, police said. But it remained unclear whether that was the man being questioned at Barnes-Jewish Hospital. A car believed to have been used by four men involved in the crime was recovered and examined for evidence.The sergeant, 39, was treated at a hospital and released after his bullet-resistant vest stopped a slug from penetrating his torso, officials said. There were at least 14 bullet holes in the windshield of his car — some from shots fired at him and some from shots fired by him.",St. Louis,handgun
4367615,NA,1,F,N,W,M,U,NA,NA,NA,WHITE,MALE,Cincinnati Police Department,NA,Cincinnati,03:12:00 Police Shooting Death Police Shooting Death
4463319,2/4/2015,1,N,N,B,M,26,NA,NA,1,W,M,Houston Police Department,Officers pursued a suspect in a vehicle and then on foot.  The suspect ran into a wooded area. The officer believed he saw a weapon so he discharged his firearm at the suspect - striking the suspect and another officer.,Houston,NA
4124049,NA,1,N,N,W,M,36,NA,NA,1,W,M,Houston Police Department,"Two patrol officers responded to a domestic distubance call at an apartment complex.  Upon arrival, officers asked complainant questions regarding the distubance, before she could answer, suspect opened the door and charging at officers with a knife.  Officer discharged two time at suspect, suspect expected to suvive.",Houston,Victim armed with knife.
2044124,NA,1,N,N,W,M,18,Call for Service,7,1,W/ H,M,Phoenix Police Department,"Subj generated a number of CI-CFSs throughout the day. Subj finally found and a pursuit was initiated. As the subj turned from Camelback road onto 51st Avenue, he pointed a handgun out the window at OIS officer. OIS officer discharges 7 rounds from within in his patrol vehicle at the subj. The pursuit continued and later ended and the subj was taken into custody. No injuries to subj or officers.",Phoenix,BB Gun
2483080,7/2/1905,1,N,Y,B,M,20,NA,1,1,U,U,New York Police Department,NA,New York,NO HITS; FIREARM
1837753,11/7/2013,1,F,Y,L,M,32,Assault,14,2,W;W,M;M,Phoenix Police Department,"Officers resp to 245-1/ Contacted SP on bicycle. Subj pulled gun from waist, pointed at officers. Officers fired at subj, mortally wounding him.",Phoenix,NA
4394323,NA,1,N,U,B,M,20-29,NA,1,1,W,M,Chicago Police Department,NA,Chicago,NA
2188614,NA,1,N,U,B,M,20-29,NA,NA,1,B,M,Chicago Police Department,NA,Chicago,Firearm Discharge - No Hits
589852,NA,1,F,U,B,M,18,NA,8,2,B;B,M;F,Chicago Police Department,NA,Chicago,PARISE MERCER
2354873,NA,1,N,Y,B,M,19,Person shot,NA,1,W,M,Jacksonville Police Department,"Criss Deon Coleman was shot after running from police who were looking for a suspect in connection to a shooting. Police chased Coleman, who was in a black car that was emptying items out of the window, including a car seat, police said. Police said the car slowed down and that Coleman exited the passenger seat with a gun and ran. Recruit Joseph Gasson stopped the patrol car for Officer Matt Hice to get out and run after him at about 12:20 a.m, police said. Hice followed Coleman into the the backyard of a home where he climbed a fence, according to police. Hice fired four times, hitting Coleman once in the lower leg. Backup officers said they found Coleman in a ditch nearby and arrested him. A weapon was recovered, but no shots were fired at the officer, according to police.",Jacksonville,NA
2409156,7/3/1905,1,N,NA,U,U,U,NA,NA,NA,U,U,Cleveland Police Department,NA,Cleveland,NA
3271899,NA,1,N,N,U,U,U,Crime,NA,3,U,U,Philadelphia Police Department,"On 1/28/10, at approximately 9:43 P.M., a uniformed officer on patrol heard numerous gunshots in the area of 21st and Spencer Streets. The officer proceeded to the area along with backup officers. The officers proceeded to investigate a blue colored Buick, occupied initially by two males at 21st and Spencer Streets. Officers ordered the males to show their hands, but they did not comply. A third male then came from a nearby alley and approached the Buick. All three officers ordered the third male to show his hands. The male did not comply. The officers continued to order the offenders to show their hands, at which time the offenders in the car began to reach around inside the vehicle. The officer could not see where, or for what the offenders were reaching and discharged her weapon one time in the direction of the vehicle. The third male entered the vehicle, and the vehicle drove from the location. Officers pursued the vehicle to the 6300 block of N. 21st Street where the vehicle stopped, as a result of contacting another vehicle. The three offenders exited the vehicle and fled on foot. The first two offenders eluded apprehension, and the third offender was apprehended at 65th and Lambert Streets. Recovered from the third offender’s pocket was the ignition key for the Buick, which according to BMV records, is being leased by the offender. No weapon was recovered.",Philadelphia,No hits
2447381,7/8/1905,1,U,U,U,U,U,NA,NA,2,L;W,M;M,Tampa Police Department,NA,Tampa,"Employee ID: 46261, 52107"
158206,NA,1,N,N,B,M,25,NA,NA,2,W;W,M;M,Houston Police Department,"Officer responded to a wanted suspect being at location.  Officers arrived and observed the suspect inside a vehicle.  When they attempted to apprehend him, he tried to run over the officers with his vehicle.  Officers discharged their duty weapons and wounded him.  Officers treated with minor injuries.",Houston,"Victims armed with ""vehicles."""
3824450,NA,1,N,U,B,M,20-29,NA,NA,1,L,M,Chicago Police Department,NA,Chicago,Firearm Discharge - No Hits
3549545,2/10/2011,1,F,Y,B,F,57,NA,8;5,2,U,U,New York Police Department,"On October 02, at 2030 hours, in the confines of the 17th Precinct, two uniformed officers were alerted to a dispute. They observed a female black subject armed with two knives and chasing another female. The officers confronted the subject and shouted numerous instructions, all of which the subject ignored. In lieu of compliance, the subject brandished her weapons and aggressively advanced on the officers. Both officers discharged their weapons, striking the subject and causing her demise. The subject had prior arrests for assault, weapons possession, burglary, and narcotics. Her toxicology report was unavailable at the time of this writing.",New York,FIREARM
4791569,NA,1,F,N,U,M,U,Call For Service,NA,2,U,U,Philadelphia Police Department,"On 5/21/11, at 9:51 AM, the complainant observed the victim walking away from a vehicle holding his stomach area and bleeding profusely. He also observed the offender riding away on a bicycle. The complainant got into his vehicle, called 911 and followed the offender to the 5800 block of N Mascher Street. Uniformed officers met the complainant on Mascher Street, where he pointed out the house that the offender fled into. Officers knocked on the door and were admitted by an elderly male, who indicated that there were males in his basement, including his son. The officers identified themselves and entered the basement when they received no response. The officers located the offender hiding in a corner of the basement holding a large kitchen knife in his hand. The officers ordered the offender to drop the knife, but he refused. The offender then raised the knife over his head in a threatening manner. An officer utilized his Electronic Control Weapon and discharged it at the offender, who dropped to his knees, but was still holding the knife. The offender stood up and began waving the knife in the officers’ direction. The offender pulled the prongs of the Electronic Control Weapon out of his chest and began to advance towards the officers, still waving the knife. The officers discharged their weapons, striking the offender. Fire Rescue pronounced him at the scene. A 13” kitchen knife was recovered in the basement. The victim who had suffered multiple stab wounds to his arms and chest, was pronounced in the 300 block of Tabor Avenue by Fire Rescue.",Philadelphia,Knife recovered
797441,3/8/2012,1,N,N,B,U,U,NA,NA,1,B,M,Houston Police Department,Officer observed a suspicious male walking between cars in business parking lot. The officer stopped the suspect to talk to him at which time the suspect ran from the officer and jumped into a waiting vehicle. The driver drove at the officer causing the officer to fire his weapon at the driver fearing that he was going to be run over.,Houston,One victim armed with vehicle. NO HITS
1114426,NA,1,F,NA,B,U,U,NA,NA,3,W;B;H,U,Baltimore Police Department,NA,BaltimoreCity,NA
3086539,NA,1,N,NA,B,U,U,NA,NA,1,H,U,Baltimore Police Department,NA,BaltimoreCity,NA
184692,7/3/1905,1,N,NA,U,U,U,NA,NA,NA,U,U,Cleveland Police Department,NA,Cleveland,NA
3649075,7/7/1905,1,N,Y,U,U,U,NA,NA,1,U,U,New Orleans Police Department,Officer discharged and missed. Citizen discharged and missed. Officer not charged,NewOrleans,NO HITS
4278474,NA,1,N,U,L,M,U,NA,NA,1,B,M,Los Angeles Police Department,NA,LosAngeles,Hit
1089134,9/7/2016,1,N,Y,W,M,49,NA,NA,1,W,M,Houston Police Department,Officers responding to a criminal mischief call were fired upon as they approached the residence. One of the officers returned fire as they backed away from the residence to take positions of cover. The suspect eventually surrendered after several hours of negotiations and after the suspect fired several more times at the officers.,Houston,No hits.
2784700,NA,1,F,U,B,M,U,NA,6,1,L,M,City of Miami Police Department,NA,City of Miami,NA
2057019,NA,1,N,U,B,M,42,NA,NA,1,W,M,Houston Police Department,The officer shot the suspect while on a traffic stop assisting Narcotics Division officers. The suspect had reached between his legs and came up with what the officer believed was a hand gun. The suspect crashed the car after a short chase and was transported to LBJ Hospital where he is expected to live. The officer was not injured.,Houston,NA
2173255,NA,1,F,Y,W,M,45,NA,1;1,2,U,U,New York Police Department,"On June 30, at 1650 hours, in the confines of the 75th Precinct, officers responded to a radio call for a robbery during which a man had been shot. A male white subject had entered an auto repair shop, abruptly produced a revolver, and shot and injured the owner. He then fled. Numerous officers converged on the location to canvas for the subject. One uniformed sergeant and officer were alerted by a passerby that the subject had hailed a livery cab. Upon locating and stopping the cab, the sergeant and officer approached the vehicle, at which point the subject suddenly opened the cab’s rear door and menaced the officers with pistol in hand. The subject refused orders to relinquish his weapon, and a struggle over the gun ensued. When the subject wrested the .38 revolver away and pointed it at the officers, each officer discharged a single round, striking the subject and causing his demise. The subject had no prior arrest history, and had controlled substances in his system at the time of the incident.",New York,FIREARM
1323282,NA,1,N,NA,W,U,U,NA,NA,1,W,M,Columbus Police Department,NA,Columbus,No hit
